rank,run_name,return_code,stage1_epochs,max_pde_weight,pde_every_n_batches,lr,best_val_loss,test_loss,test_mae_degC,test_rmse_degC,test_mse_degC2,epochs_completed,best_epoch
1,outputs_grid_opt_smoke/20260306_203303/run_02_s1_1_wp_0.030_pe_4_lr_1.0e-04,0,1,0.03,4,0.0001,0.486378,0.272936,87.186928,95.157814,9055.009766,1,1
2,outputs_grid_opt_smoke/20260306_203303/run_01_s1_1_wp_0.030_pe_4_lr_3.0e-04,0,1,0.03,4,0.0003,0.087771,0.251447,80.602188,100.464767,10093.169922,1,1
